"","Perimeter","Area","Patch_ID","Selected","CT","Matrix","SU_trunc","min_distance_to_next_patch_m","min_distance_to_next_patch_km","Capreolus.capreolus","Martes","Meles.meles","Sus.scrofa","Procyon.lotor","Felis.silvestris","Vulpes.vulpes","Species_Richness","Ungulate_Richness","Carnivore_Richness"
"1",2.616,15.932,"LE0007",1,1,"agriculture",1,33.2291341030301,0.0332291341030301,1,0,0,0,1,0,1,3,1,2
"2",3.358,19.862,"LE0003",1,2,"agriculture",2,28.8613470175042,0.0288613470175042,1,1,1,1,1,0,1,6,2,4
"3",3.532,41.948,"LE0025",1,2,"urban",2,12.4836236014586,0.0124836236014586,1,1,1,1,1,0,1,6,2,4
"4",3.97,57.238,"LE0024",1,2,"urban",2,52.868819261053,0.052868819261053,0,0,1,0,1,0,1,3,0,3
"5",2.603,27.842,"LE0049",1,2,"agriculture",2,202.700252993412,0.202700252993412,1,1,1,1,1,0,1,6,2,4
"6",5.595,38.303,"LE0035",1,2,"urban",2,27.8828533626114,0.0278828533626114,1,1,1,0,1,0,1,5,1,4
"7",1.098,4.818,"LE0012",1,1,"agriculture",1,739.27593312363,0.73927593312363,1,1,1,1,1,0,1,6,2,4
"8",2.001,14.064,"LE0053",1,2,"urban",1,13.4147552574934,0.0134147552574934,1,1,1,1,1,0,1,6,2,4
"9",10.114,301.263,"LE0068",1,4,"urban",4,1.7157866932888,0.0017157866932888,1,0,1,1,1,0,1,5,2,3
"10",2.273,8.009,"LE0014",1,1,"agriculture",1,146.73286945229,0.14673286945229,1,1,1,1,1,0,1,6,2,4
"11",2.062,15.005,"LE0082",1,1,"urban",1,5.52519565395631,0.00552519565395631,1,0,0,1,1,0,1,4,2,2
"12",1.372,11.737,"LE0028",1,1,"urban",1,38.6568530769655,0.0386568530769655,0,1,1,0,1,0,1,4,0,4
"13",0.872,3.837,"LE0021",1,1,"urban",1,147.38942469909,0.14738942469909,1,0,1,1,1,0,1,5,2,3
"14",2.274,10.219,"LE0038",1,1,"urban",1,2.68846678495963,0.00268846678495963,1,1,1,0,1,0,1,5,1,4
"15",1.622,5.917,"LE0018",1,1,"urban",1,151.121253690984,0.151121253690984,1,1,1,1,1,0,1,6,2,4
"16",0.909,3.158,"LE0006",1,1,"agriculture",1,513.554310027387,0.513554310027387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2.518,12.327,"LE0063",1,1,"urban",1,0,0,1,0,1,1,1,0,1,5,2,3
"18",1.896,22.006,"LE0030",1,2,"urban",2,0,0,1,1,0,0,1,0,1,4,1,3
"19",1.154,5.098,"LE0081",1,1,"agriculture",1,64.859349014618,0.064859349014618,1,0,0,1,1,0,1,4,2,2
"20",6.625,30.618,"LE0034",1,2,"urban",2,66.4978412729339,0.0664978412729339,0,1,1,0,1,0,1,4,0,4
"21",2.44,11.124,"LE0074",1,1,"agriculture",1,345.055887403391,0.345055887403391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",3.259,12.015,"LE0029",1,1,"urban",1,0,0,0,1,1,0,1,0,1,4,0,4
"23",3.288,38.307,"LE0022",1,2,"urban",2,75.5237123679823,0.0755237123679823,1,1,1,0,1,0,1,5,1,4
"24",22.578,178.074,"LE0064",1,3,"agriculture",3,3.99454910409318,0.00399454910409318,1,1,1,1,1,0,1,6,2,4
"25",1.606,13.155,"LE0075",1,1,"urban",1,66.4978412729339,0.0664978412729339,0,1,1,1,1,0,1,5,1,4
"26",2.353,18.811,"LE0066",1,2,"urban",2,0,0,1,1,1,0,1,0,1,5,1,4
"27",5.361,36.288,"LE0043",1,2,"agriculture",2,0,0,1,1,1,1,1,0,1,6,2,4
"28",2.483,27.871,"LE0050",1,2,"agriculture",2,0,0,1,1,1,1,1,1,1,7,2,5
"29",4.505,45.132,"LE0002",1,2,"agriculture",2,0,0,1,1,1,1,1,0,1,6,2,4
"30",8.864,181.997,"LE0023",1,3,"urban",3,0,0,1,1,1,1,1,0,1,6,2,4
"31",1.93,11.231,"LE0020",1,1,"urban",1,0,0,0,0,0,0,0,0,1,1,0,1
"32",4.93,28.201,"LE0070",1,2,"agriculture",2,0,0,1,1,1,1,1,1,1,7,2,5
"33",23.066,565.455,"LE0065",1,4,"agriculture",4,0,0,1,1,1,1,1,0,1,6,2,4
"34",6.283,60.307,"LE0017",1,1,"agriculture",2,0,0,1,0,1,1,0,0,1,4,2,2
"35",24.643,322.172,"LE0037",1,4,"agriculture",4,0,0,1,1,1,1,1,0,1,6,2,4
"36",10.938,184.084,"LE0039",1,3,"urban",3,0,0,1,1,1,1,1,1,1,7,2,5
"37",12.178,162.729,"LE0001",1,3,"agriculture",3,0,0,1,1,1,1,1,0,1,6,2,4
"38",6.976,166.677,"LE0041",1,3,"agriculture",3,0,0,1,1,1,1,1,0,1,6,2,4
"39",2.829,12.064,"LE0078",1,1,"urban",1,0,0,1,1,1,0,1,0,1,5,1,4
"40",0.758,3.54,"LE0013",1,1,"agriculture",1,55.4696032336541,0.0554696032336541,1,0,1,0,1,0,1,4,1,3
"41",0.992,4.282,"LE0044",1,1,"urban",1,547.61602592694,0.54761602592694,0,1,1,0,1,0,1,4,0,4
"42",5.081,56.428,"LE0059",1,2,"agriculture",2,8.02194876623192,0.00802194876623192,1,1,1,1,1,0,1,6,2,4
